No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
134,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/jyDXbjWV1wE,10,0,1981,2025/4/4,jyDXbjWV1wE,,,,,,,,,,
135,youtube,@myintgotsu,https://www.youtube.com//shorts/6QAqlwO0Qmk,21,0,1963,2025/3/6,6QAqlwO0Qmk,,,,,,,,,,
136,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/vNlWqbNMRwE,6,0,1914,2025/2/4,vNlWqbNMRwE,,,,,,,,,,
137,youtube,@delimiroorozc,https://www.youtube.com//shorts/D7mHSEkqCnw,18,1,1882,2025/2/22,D7mHSEkqCnw,,,,,,,,,,
138,youtube,@myintgotsu,https://www.youtube.com//shorts/E_77AX_sCvU,19,1,1873,2025/1/25,E_77AX_sCvU,,,,,,,,,,
139,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/smTWCne1fQw,10,0,1868,2025/4/2,smTWCne1fQw,,,,,,,,,,
140,youtube,@myintgotsu,https://www.youtube.com//shorts/0oVWjy4ccqw,13,0,1857,2025/3/5,0oVWjy4ccqw,,,,,,,,,,
141,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/uk_PhWwctTY,8,0,1822,2025/2/27,uk_PhWwctTY,,,,,,,,,,
142,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/1D3AiEkKHJY,6,0,1788,2025/4/2,1D3AiEkKHJY,,,,,,,,,,
143,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/psRocOVy2bs,20,0,1781,2025/1/30,psRocOVy2bs,,,,,,,,,,
144,youtube,@delimiroorozc,https://www.youtube.com//shorts/NNMxjYTkyXE,5,1,1762,2025/4/2,NNMxjYTkyXE,,,,,,,,,,
145,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/RgaYK-9Cl8k,2,0,1743,2025/4/2,RgaYK-9Cl8k,,,,,,,,,,
146,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/pJtMpsXAkJQ,11,0,1741,2025/4/1,pJtMpsXAkJQ,,,,,,,,,,
147,youtube,@delimiroorozc,https://www.youtube.com//shorts/il9yKuw__yc,27,0,1741,2025/2/23,il9yKuw__yc,,,,,,,,,,
148,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/M2ldCCp3M0Q,10,0,1719,2025/4/2,M2ldCCp3M0Q,,,,,,,,,,
149,youtube,@delimiroorozc,https://www.youtube.com//shorts/C3OBGHCPkMw,8,0,1687,2025/4/2,C3OBGHCPkMw,,,,,,,,,,
